Tube_code	individual	species	Population	latitude	longitude	type	Sex	Sample_type	time_point	Tube_type
AF02	AH1_2nd_18	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AE08	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF06	LI1_2nd_1	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF11	LI1_2nd_2	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF08	LI1_2nd_3	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF07	LI1_2nd_4	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF09	LI1_2nd_5	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF12	LI1_2nd_6	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF10	LI1_2nd_7	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF13	LI1_2nd_8	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF05	LI1_2nd_9	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
AF04	LI1_2nd_10	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	6_Post-FMT2	Lizards_Hologenomics
