Tube_code	individual	species	Population	latitude	longitude	type	Sex	Sample_type	time_point	Tube_type
AC92	AH1_2nd_14	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AC86	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AC96	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AC88	AH1_2nd_17	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AC91	AH1_2nd_18	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AC83	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AC98	LI1_2nd_1	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AD05	LI1_2nd_2	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AC99	LI1_2nd_3	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AD04	LI1_2nd_4	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AD03	LI1_2nd_5	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AD06	LI1_2nd_6	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AC97	LI1_2nd_7	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AD07	LI1_2nd_8	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AD01	LI1_2nd_9	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AD02	LI1_2nd_10	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	1_Acclimation	Lizards_Hologenomics
AD08	AH1_2nd_1	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD24	AH1_2nd_2	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD19	AH1_2nd_5	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD20	AH1_2nd_6	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD09	AH1_2nd_7	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD17	AH1_2nd_8	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD10	AH1_2nd_9	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD23	AH1_2nd_10	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD18	AH1_2nd_11	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD11	AH1_2nd_12	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD21	AH1_2nd_20	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD22	AH1_2nd_13	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD12	AH1_2nd_14	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD13	AH1_2nd_15	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD25	AH1_2nd_16	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Treatment	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD14	AH1_2nd_17	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD15	AH1_2nd_18	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD16	AH1_2nd_19	Podarcis_muralis	Cold_wet	43.31323	-1.75101	Control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
AD32	LI1_2nd_2	Podarcis_liolepis	Hot_dry	42.67034	-2.0269	Hot_control	Male	Faeces	2_Antibiotics	Lizards_Hologenomics
