Sample	percent_duplicates	percent_gc	avg_sequence_length	median_sequence_length	percent_fails	total_sequences
AC94_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	63.56542982264289	45.0	150.0	150	27.27272727272727	15288309.0
AC95_EKDL240003470-1A_223JWCLT4_L2.lib2_1	9.264720401974586	42.0	150.0	150	18.181818181818183	2099892.0
AC95_EKDL240003470-1A_223JWCLT4_L2.lib2_2	10.271119076363476	42.0	150.0	150	18.181818181818183	2099892.0
AC95_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	11.329599344045235	42.0	150.0	150	18.181818181818183	26744770.0
AC95_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	12.25263208124025	43.0	150.0	150	18.181818181818183	26744770.0
AC96_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	77.59708662219026	42.0	150.0	150	9.090909090909092	14737713.0
AC96_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	78.17020484315535	43.0	150.0	150	18.181818181818183	14737713.0
AC97_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	9.00174456260811	48.0	150.0	150	0.0	12105866.0
AC97_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	10.606295283242702	49.0	150.0	150	9.090909090909092	12105866.0
AC98_EKDL240003470-1A_223JWCLT4_L2.lib2_1	7.7113921148171585	43.0	150.0	150	18.181818181818183	566755.0
AC98_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.718466075626225	43.0	150.0	150	18.181818181818183	566755.0
AC98_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	4.832718189369871	43.0	150.0	150	18.181818181818183	8502545.0
AC98_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	5.838019394440934	44.0	150.0	150	18.181818181818183	8502545.0
AC99_EKDL240003470-1A_223JWCLT4_L2.lib2_1	7.972166441529367	42.0	150.0	150	18.181818181818183	872583.0
AC99_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.895779906815378	43.0	150.0	150	18.181818181818183	872583.0
AC99_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	5.7528908084449455	42.0	150.0	150	18.181818181818183	11434984.0
AC99_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	6.667712445813379	43.0	150.0	150	18.181818181818183	11434984.0
AD01_EKDL240003470-1A_223JWCLT4_L2.lib2_1	19.693502046692473	43.0	150.0	150	18.181818181818183	971078.0
AD01_EKDL240003470-1A_223JWCLT4_L2.lib2_2	21.10642854212611	43.0	150.0	150	18.181818181818183	971078.0
AD01_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	20.48412385481828	43.0	150.0	150	18.181818181818183	13507522.0
AD01_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	21.188734473530815	43.0	150.0	150	18.181818181818183	13507522.0
AD02_EKDL240003470-1A_223JWCLT4_L2.lib2_1	12.3019968332287	43.0	150.0	150	18.181818181818183	376348.0
AD02_EKDL240003470-1A_223JWCLT4_L2.lib2_2	13.76348339613044	43.0	150.0	150	18.181818181818183	376348.0
AD02_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	12.185141631420777	43.0	150.0	150	18.181818181818183	4891193.0
AD02_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	13.3558186099296	43.0	150.0	150	27.27272727272727	4891193.0
AD03_EKDL240003470-1A_223JWCLT4_L2.lib2_1	7.305787492278483	44.0	150.0	150	18.181818181818183	571424.0
AD03_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.660665432726518	44.0	150.0	150	27.27272727272727	571424.0
AD03_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	6.043651298460489	44.0	150.0	150	18.181818181818183	8443191.0
AD03_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	7.5202173055330235	44.0	150.0	150	27.27272727272727	8443191.0
AD04_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	44.290220539239634	44.0	150.0	150	9.090909090909092	16459923.0
AD04_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	45.130655412895926	44.0	150.0	150	9.090909090909092	16459923.0
AD05_EKDL240003470-1A_223JWCLT4_L2.lib2_1	10.766152727633866	45.0	150.0	150	27.27272727272727	964445.0
AD05_EKDL240003470-1A_223JWCLT4_L2.lib2_2	13.040879685419469	46.0	150.0	150	27.27272727272727	964445.0
AD05_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	35.53073255196212	46.0	150.0	150	36.36363636363637	15629175.0
AD05_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	37.33362244290297	46.0	150.0	150	27.27272727272727	15629175.0
AD06_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.12484458080948	44.0	150.0	150	18.181818181818183	675320.0
AD06_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.8971709348653	44.0	150.0	150	18.181818181818183	675320.0
AD06_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	7.898425456838183	44.0	150.0	150	18.181818181818183	9570079.0
AD06_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	8.677960026158544	44.0	150.0	150	18.181818181818183	9570079.0
AD07_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	9.896428006493977	46.0	150.0	150	0.0	17713241.0
AD07_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	11.717104778907881	47.0	150.0	150	9.090909090909092	17713241.0
AD08_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.6346804626412	40.0	150.0	150	18.181818181818183	714445.0
AD08_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.653229241225375	40.0	150.0	150	18.181818181818183	714445.0
AD08_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	10.034696665700466	40.0	150.0	150	18.181818181818183	10748157.0
AD08_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	11.050133612873154	40.0	150.0	150	18.181818181818183	10748157.0
AD09_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.178747243446054	42.0	150.0	150	18.181818181818183	640007.0
AD09_EKDL240003470-1A_223JWCLT4_L2.lib2_2	9.057181027349088	43.0	150.0	150	18.181818181818183	640007.0
AD09_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	8.351608920077453	42.0	150.0	150	18.181818181818183	8726332.0
AD09_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	9.191334527223404	43.0	150.0	150	18.181818181818183	8726332.0
AD10_EKDL230051108-1A_22FN5HLT3_L1.lib1_1	9.65864277982412	43.0	150.0	150	9.090909090909092	15211921.0
AD10_EKDL230051108-1A_22FN5HLT3_L1.lib1_2	10.478555810111615	43.0	150.0	150	9.090909090909092	15211921.0
AD11_EKDL240003470-1A_223JWCLT4_L2.lib2_1	8.994315976790318	35.0	150.0	150	27.27272727272727	971335.0
AD11_EKDL240003470-1A_223JWCLT4_L2.lib2_2	10.286569411300974	36.0	150.0	150	27.27272727272727	971335.0
AD11_EKDL240003470-1A_22JVFTLT3_L1.lib1_1	11.997571991393414	36.0	150.0	150	27.27272727272727	14873612.0
AD11_EKDL240003470-1A_22JVFTLT3_L1.lib1_2	13.20273874266691	36.0	150.0	150	27.27272727272727	14873612.0
AD12_EKDL240003470-1A_223JWCLT4_L2.lib2_1	7.5249400087525515	41.0	150.0	150	18.181818181818183	904458.0
AD12_EKDL240003470-1A_223JWCLT4_L2.lib2_2	8.32585820826803	41.0	150.0	150	18.181818181818183	904458.0
